Dziecko (u12),2021,2009
Junior (u18),2005,2003
Kadet (u16),2009,2005
Młodzierzowiec (u21),2005,2000
Młodzierzowiec (u23),2005,1998
Młodzik (u14),2009,2007
Senior ,2004,1921
