first_competitor,second_competitor,category_id,match_id,winner,description
1500147,1500329,8927403,44918951,1500329,Runda 4
1700543,1600335,22263830,44926346,1600335,Runda 1
1700286,1700283,91372353,44926630,1700286,Runda 3
1500664,1500311,4675402,44926761,1500311,1/2 F
"",1500006,33533101,44932199,1500006,Repasaż 2
1600514,1500692,23173611,44936822,1500692,Repasaż 1
1500011,1500007,54967239,44937236,1500011,Finał I-II
1500158,1500217,13414890,44941399,1500217,Runda 4
1500527,1500410,66284775,44942304,1500527,Finał III-V
1500351,1500718,68295164,44958396,1500351,1/2 F
2100094,2000078,79107914,44960628,2000078,Repasaż 1
1800003,1500329,58889666,44964951,1800003,Runda 1
1500944,1500140,72493393,44965624,1500140,Runda 3
2100195,1900033,37933470,44967036,1900033,Repasaż 2
1600249,1700114,39076244,44967137,1700114,Runda 1
1500696,1500373,81177084,44971611,1500373,Finał I-II
1700225,2000032,23931422,44972201,2000032,Eliminacje
1800257,1900345,39039624,44977742,1900345,Runda 3
1500426,1500160,86095418,44982570,1500426,Runda 1
1700353,1600462,92305110,44986424,1600462,Runda 4
1500006,1500059,31844315,44988590,1500059,1/4 F
1500715,1500544,25557080,44992521,1500715,Finał I-II
1500310,1600434,96322637,44995916,1600434,Runda 1
1500876,1500879,82126381,45004080,1500879,Runda 2
1600280,1700253,23936086,45012273,1700253,Runda 1
1500450,1600163,99228686,45013777,1500450,Repasaż 2
1500072,1500144,58375092,45016552,1500144,Repasaż 2
1900104,1800019,40051239,45017517,1800019,1/2 F
1600592,1501022,4634857,45034185,1501022,Runda 2
1600473,1700543,22263830,45034409,1600473,Runda 2
1500416,1600301,16829612,45041860,1500416,Runda 4
1600335,1500430,17280006,45041874,1500430,1/2 F
1500066,1500268,28905273,45058526,1500066,Runda 1
1500434,1600134,66739319,45063441,1500434,Runda 3
2100203,2000344,51554989,45066712,2000344,Repasaż 1
1800102,1800099,90310209,45069703,1800102,Runda 2
1600463,1500398,66246870,45074430,1500398,Runda 3
1700130,1800154,9315105,45076372,1800154,Finał I-II
1600083,1500419,80984194,45077682,1600083,Eliminacje
1501020,1500334,69546982,45081862,1501020,1/2 F
1500835,1501109,35988509,45083197,1500835,Finał III-V
1700230,1700306,62370831,45083523,1700306,1/2 F
1500587,1700145,87500211,45084639,1500587,1/16 F
1700534,1800322,40026876,45087185,1700534,Runda 5
1500140,1500403,72493393,45088626,1500403,Runda 5
1600443,1600279,96082681,45090027,1600443,Runda 2
1500278,1500202,1040315,45090112,1500278,Eliminacje
1500342,1500160,92410844,45092601,1500160,Repasaż F
1500874,1700134,37908341,45092940,1500874,Runda 3
1500101,1500104,77470303,45095242,1500101,1/2 F
1800252,1800287,15233358,45099746,1800252,Runda 5
1500423,1500727,3644236,45099749,1500423,1/4 F
1500325,"",47729096,45100237,"",Runda 5
1500521,1500586,20070543,45107361,1500586,Runda 3
1500213,1500401,72280442,45112933,1500213,Runda 1
1600207,1600297,25525587,45113405,1600297,Finał I-II
1700510,1800404,81479046,45117445,1700510,1/4 F
1700067,1800072,9153272,45118471,1700067,Runda 3
1500345,1600406,27203895,45118782,1600406,Runda 5
2100097,1600134,66739319,45122062,1600134,Runda 2
1700487,1700314,79028162,45122095,1700487,Finał I-II
1500770,1500612,16286902,45126678,1500770,Finał I-II
1500449,1500298,36385156,45129974,1500449,Runda 4
1800019,1600257,64329928,45131053,1600257,Runda 5
2000062,1600531,98948142,45140258,1600531,Runda 2
1700531,1700543,50725156,45142469,1700531,Runda 5
2100069,2000052,4395138,45154247,2100069,1/4 F
1500586,1500419,50184315,45155221,1500419,Eliminacje
1800326,1700486,27746578,45156775,1800326,Runda 4
1700071,1501184,71689946,45157818,1501184,Runda 1
1500504,1600168,80256008,45162443,1500504,1/2 F
1500160,2000338,42041391,45162775,1500160,Runda 3
1600248,1600118,44160346,45164848,1600248,Runda 4
1700031,1700491,11780974,45166679,1700031,Finał I-II
1800239,1600154,42832983,45170008,1800239,Finał I-II
1800422,1900103,14885204,45171119,1800422,Runda 3
1800078,1600359,84496901,45175918,1800078,Runda 1
1600351,1500726,93410434,45177525,1500726,Eliminacje
1700317,1800104,88668761,45186466,1800104,Runda 4
1500612,1500335,67052947,45188115,1500612,Runda 1
1500188,1500216,86215724,45196314,1500188,1/4 F
1600445,1700145,99301292,45198051,1600445,Runda 1
1500446,1800367,52414552,45201510,1500446,1/4 F
1500435,1500322,66284775,45208093,1500435,Eliminacje
1800087,1500468,63328294,45210599,1500468,Runda 2
1600539,1500879,32253771,45211367,1500879,Runda 3
1500880,1800364,1495775,45214688,1800364,Runda 2
1500217,1500209,70987495,45215695,1500217,1/2 F
1900036,1900063,48517075,45229743,1900036,Eliminacje
1500662,1500158,85647636,45234090,1500662,Runda 5
2000259,2100224,87807180,45235299,2100224,Runda 3
1700065,1700076,33358362,45238014,1700076,Runda 1
1500342,1500376,73570621,45243798,1500376,Runda 3
1700528,2000215,88582546,45246233,2000215,Runda 3
1500887,1501170,66865159,45249750,1500887,1/8 F
1700093,1600109,85713446,45253914,1600109,Runda 3
1900051,1700078,92786707,45258361,1700078,Runda 3
1800330,1800424,36501264,45258666,1800424,Repasaż F
1700024,1800093,83350538,45265604,1800093,Runda 1
1500416,1600075,75774561,45267376,1600075,Runda 3
1500324,1501188,71860982,45273193,1501188,Runda 5
1500553,1500533,69469662,45280089,1500533,1/4 F
1501109,1500601,1510117,45284709,1501109,1/2 F
1900309,1600613,35567886,45285777,1600613,Repasaż F
1800392,1600531,23260579,45287202,1800392,Runda 1
1500652,1500671,59202198,45289864,1500652,1/2 F
1800003,1600329,61642299,45290518,1600329,Runda 1
1700529,1900365,1659385,45295547,1900365,Runda 2
1600094,1800415,48946197,45296641,1600094,Runda 2
1800366,2000086,11048102,45298008,1800366,1/4 F
1600114,1700141,16641577,45298330,1700141,Runda 1
1700256,1600604,1814756,45299104,1600604,Runda 5
1600249,1501182,91741816,45299390,1501182,Runda 3
1700144,1700131,34568370,45305695,1700144,Runda 1
1500818,1700035,38624455,45306490,1500818,1/4 F
1800091,1800261,55939075,45311881,1800091,Runda 3
1500191,1500165,72603007,45316058,1500191,Runda 2
1700531,1900099,92138464,45320265,1700531,1/2 F
1500375,1500587,93420275,45321601,1500375,Finał I-II
1500213,1500273,69174170,45326970,1500273,Runda 2
1800232,1600251,72248662,45331572,1600251,Runda 3
1500071,1500069,62140813,45332030,1500071,Runda 1
1500382,1500213,3766888,45342632,1500213,Runda 3
1700412,1600035,81848717,45344870,1600035,1/2 F
1500136,1500342,92405281,45350586,1500342,Runda 1
1700489,1700525,92118477,45369931,1700525,Runda 2
1500424,1500147,84383667,45370231,1500147,Runda 4
1900116,1800247,64338765,45379907,1800247,Repasaż F
"",1500799,86799327,45381029,"",1/2 F
1600223,1500164,23573209,45387095,1500164,Eliminacje
1600022,1500135,3766888,45388924,1500135,1/2 F
1501171,1500626,85523132,45390200,1500626,1/4 F
1500208,1500037,15963021,45393298,1500037,1/2 F
1700534,1700123,80104603,45397012,1700534,Runda 5
1600315,1600471,33771810,45402523,1600315,Runda 2
1600115,1600132,1595011,45405177,1600115,Finał I-II
1700024,1800093,35081758,45408167,1800093,1/4 F
2000117,1900064,22262768,45409663,2000117,Runda 3
1500383,1700114,78387584,45413220,1700114,Runda 2
1500382,1500148,15055009,45414549,1500148,Runda 3
1500932,1500362,79612359,45414880,1500932,Runda 4
1501188,1600331,43060037,45427986,1501188,1/4 F
1900408,1501182,35793885,45429430,1501182,1/2 F
1500217,1500196,77828668,45429680,1500217,Finał I-II
1900274,1800350,27746578,45431726,1800350,1/2 F
1500268,1700023,18214199,45432969,1500268,Runda 3
1900364,1800241,95092320,45434398,1900364,Runda 3
2000195,1800326,27746578,45436217,1800326,Runda 1
1500377,1500354,8530514,45438347,1500377,Finał III-V
1600115,1500434,66739319,45439188,1500434,Runda 2
1800091,1900406,76385146,45439894,1800091,Runda 4
1700529,1800241,96448005,45441548,1800241,1/4 F
1700284,1800159,9315105,45444421,1800159,Runda 5
1800037,2000093,49656557,45447520,1800037,Finał III-V
1700505,1800080,34008020,45448452,1800080,Runda 2
1500468,1800398,65634086,45450521,1500468,1/2 F
1600094,1800003,71872350,45450830,1800003,Runda 3
1600204,1500696,24766110,45452493,1600204,Runda 1
1500279,1500274,71266835,45460358,1500274,Runda 3
1500401,1500438,70640629,45465411,1500401,Finał I-II
1500148,1500276,36472020,45475112,1500276,Runda 4
1800067,1700117,36869937,45475863,1700117,1/4 F
1700404,1700254,58491579,45480108,1700254,1/2 F
1600065,1600125,918964,45483041,1600125,Runda 3
1600417,1700158,68310737,45484528,1700158,Finał I-II
1800047,1800075,38330224,45486182,1800075,Runda 3
1500267,1500059,68716997,45487698,1500267,Finał III-V
1900181,1800216,13462697,45491589,1800216,Finał III-V
1700384,1700363,90966492,45494368,1700363,Runda 2
1800349,2000307,52458246,45499566,2000307,1/2 F
1700117,1500433,8981572,45505320,1700117,Runda 4
1700108,1700459,40583759,45517383,1700459,Eliminacje
1500443,1500361,75633969,45521292,1500443,Runda 3
1600125,1700026,30798286,45521930,1700026,Runda 4
1700353,1700144,34568370,45524891,1700144,Runda 2
1500093,1501124,13569921,45526136,1500093,1/8 F
1500095,1500104,3944566,45541533,1500104,Finał I-II
1500270,1500099,75232635,45544795,1500099,Runda 1
1900408,1500446,78387584,45548488,1500446,Runda 3
1500586,1600428,24537242,45556070,1500586,Runda 1
1500066,1500102,95163784,45557783,1500066,1/2 F
1600087,1500328,30134491,45560870,1500328,Runda 2
1600318,1600326,44950845,45562435,1600318,Eliminacje
1600384,1500612,16286902,45563597,1500612,Runda 1
1600614,1700520,57733804,45569479,1600614,Runda 2
1900353,1900375,75116456,45570225,1900375,Runda 2
1500835,1500339,83930907,45576119,1500835,Repasaż F
1700153,1700018,44560123,45583632,1700153,Runda 1
1700015,1500237,93546621,45587419,1700015,Runda 2
1500818,1500382,21672731,45599278,1500382,Runda 1
1600263,1600247,22058627,45606694,1600263,Finał I-II
1600177,1800367,16206695,45607587,1800367,1/4 F
1500094,1500095,5190312,45620353,1500094,Runda 1
1500200,1500096,4959812,45621523,1500200,Runda 2
1600604,1700122,39438679,45623139,1600604,Runda 3
1500717,1500693,81080565,45633901,1500693,Runda 1
1500889,1500309,25532992,45635868,1500309,Repasaż 3
1800185,1800418,78058770,45643251,1800418,Runda 2
1600004,1500195,36472020,45644364,1600004,Runda 3
1700089,1700079,52252976,45650403,1700089,Runda 2
1900371,1800098,55523414,45650658,1800098,Runda 1
1500066,1500239,20461078,45650959,1500066,Runda 1
1600249,1500426,98619091,45651333,1500426,Eliminacje
1501182,1500446,16826063,45651912,1501182,Finał I-II
1500426,1500408,15055009,45655135,1500426,Runda 5
1800326,1900076,72974065,45655532,1800326,1/2 F
"","",67220427,45656784,"",1/4 F
1500724,1500312,81496603,45658319,1500724,1/2 F
1500612,1501200,29809501,45658782,1500612,Runda 1
1900220,1800061,88444438,45664932,1800061,Repasaż 2
1500067,1500198,76451784,45671116,1500067,Repasaż 2
1500237,1500290,9124615,45683963,1500290,Finał I-II
1500401,1700476,97150864,45685818,1500401,Runda 1
1500520,1600061,6515950,45687402,1600061,Repasaż 1
1700146,1500329,39157153,45697959,1500329,Runda 2
1900307,1900395,41931777,45701530,1900395,Runda 1
1800110,1600250,51743931,45703670,1600250,1/2 F
1500386,1600412,46418389,45704788,1500386,1/4 F
1500978,1800415,5316348,45709369,1500978,Runda 4
1500528,1500499,42871963,45710438,1500528,1/4 F
1600411,1500364,46418389,45714504,1500364,1/8 F
1700174,1700164,76082204,45724361,1700164,Runda 1
1500860,1500903,86438357,45732511,1500903,Runda 3
1500095,1500142,82690615,45733503,1500095,Repasaż 1
1600247,1600263,97883914,45737911,1600263,Finał I-II
2000056,2000093,63076919,45744011,2000093,Runda 3
1500419,1500586,40003170,45748653,1500419,Repasaż 1
"",1500370,47729096,45751042,"",Runda 4
