first_competitor,second_competitor,category_id,winner,match_id
1500404,1700117,53784671,1700117,3045017
1500720,1800031,22989802,1800031,3059593
2000350,2000193,70083850,2000193,3077012
1900303,1500335,66137940,1500335,3084203
1600604,1500845,53453606,1600604,3111989
2100065,2000346,70083850,2000346,3128418
1800415,2000033,47420611,1800415,3133707
1500214,1800395,15723691,1500214,3162844
2000051,2000124,81687208,2000124,3173181
1800415,1700254,22019079,1700254,3190440
2000045,1900226,24337055,2000045,3195629
2000223,1900020,69254490,2000223,3197461
1800093,2000095,41150228,2000095,3200632
1700195,1600280,98242958,1600280,3201226
1800127,1800227,48884355,1800127,3237087
1700015,1800415,78601896,1700015,3253522
1600604,1700256,98242958,1600604,3256100
2000046,1600127,3837516,1600127,3283955
1800017,1500271,15723691,1500271,3290564
1500426,1500160,15723691,1500426,3306480
1800239,1800247,24653464,1800247,3342787
1600514,1500410,3837516,1500410,3380711
2000255,1900328,12375490,1900328,3387175
1800019,1700116,98242958,1700116,3399296
2100104,1600618,35731376,2100104,3402767
2000032,1700144,98242958,1700144,3414229
1900386,1900319,73673141,1900319,3495885
1600148,1501184,65548502,1501184,3499261
1800412,1800408,61075387,1800412,3506678
1800207,1900319,73673141,1800207,3538021
1500587,1500419,17626627,1500587,3549467
1500160,1500410,93340099,1500160,3565710
1500423,1500586,1605247,1500423,3573701
1501184,1500310,37540814,1501184,3574132
1600174,1500381,26060937,1600174,3583914
1500112,1600280,89059425,1500112,3607194
2100192,1800098,24653464,1800098,3611801
1500426,1500383,47337021,1500426,3640023
2100183,1900021,73673141,1900021,3663077
2000192,2000021,35731376,2000192,3672242
1900285,1900344,94113634,1900285,3684579
2000016,1900306,81687208,2000016,3743078
2100082,1900306,96146351,1900306,3754401
1700061,2000007,67704249,2000007,3767846
1800096,1700453,61075387,1700453,3776263
2000090,1700141,40461362,2000090,3776734
1800076,1900078,12375490,1900078,3784632
1800017,1500381,26060937,1800017,3810643
1600267,1700260,84357639,1600267,3828721
1500635,1600280,98242958,1500635,3844445
2100281,2000185,93894916,2000185,3856058
2000186,1900226,41150228,1900226,3857144
1800232,1600088,88048778,1600088,3887863
1700145,1600434,37376827,1600434,3924558
1500336,1500382,24280048,1500382,3927259
1700353,1700131,63722814,1700353,3932096
1500311,1500335,3837516,1500311,3962845
1600386,1600297,37376827,1600386,4002408
1600248,2000032,28586144,2000032,4003271
1800332,2000158,48884355,1800332,4015146
1800104,2000016,52483288,2000016,4042191
1500216,1500950,53784671,1500950,4060412
1500556,2000151,3837516,1500556,4068670
2000054,2000181,94410639,2000054,4078314
1900153,1900242,93894916,1900153,4092273
1600604,1500845,53453606,1600604,4094452
1900021,1900323,23655601,1900021,4130933
1900364,1800092,34803546,1900364,4145938
1800003,1900314,32058656,1900314,4170959
1500160,1500268,93340099,1500268,4185464
1500383,1500299,37376827,1500299,4190606
1700538,1700144,63722814,1700144,4227852
1500094,1500142,69502754,1500142,4256140
1700290,2000171,28586144,1700290,4304374
1900031,1900055,3585411,1900031,4324431
1800096,1800207,61075387,1800207,4373467
1600431,1500335,47337021,1600431,4392598
1700001,1500148,29469615,1700001,4396256
1500080,1800003,92798146,1800003,4402242
1500408,1500336,17626627,1500336,4409863
1500215,1900408,37540814,1500215,4442704
1800239,1800104,24653464,1800104,4443565
1800366,2000086,51404974,1800366,4444283
1800350,2000205,51404974,1800350,4461508
1500395,1500447,24280048,1500395,4473381
1600087,1700116,28586144,1700116,4482048
1600621,1900226,41150228,1600621,4492252
1700487,2000192,41150228,2000192,4499712
1900289,1500410,93340099,1500410,4504455
2000077,1800425,24280048,1800425,4507904
1900226,1700487,88048778,1700487,4511535
1600297,1700530,44647410,1600297,4527461
1500655,1700117,92288378,1700117,4534317
2000194,2100187,94410639,2000194,4545986
1800099,1900309,38479101,1900309,4553001
1500379,1500587,72846199,1500587,4569265
1600145,1700453,61075387,1600145,4607921
1700141,1700353,63722814,1700353,4613794
2000080,1800413,12375490,1800413,4615778
1800392,1800364,83410081,1800392,4638539
1600268,1500635,53453606,1500635,4650665
1501184,1600249,66137940,1600249,4695437
1500426,1500408,38215718,1500426,4761375
1800023,1700529,65548502,1700529,4791961
1500665,1700015,78601896,1700015,4810928
2000022,1900383,24337055,1900383,4822863
1700144,1500008,78601896,1500008,4831933
1700353,1600094,98242958,1600094,4858067
1600531,2000090,22019079,1600531,4867162
1700486,1800049,51404974,1700486,4908074
1800326,1900272,20625435,1900272,4925326
1700116,1700256,67704249,1700116,4935833
1900368,2000014,83384433,1900368,4987038
1500426,1600064,47337021,1500426,4992987
1600514,1500586,40556595,1500586,4997848
1800110,1800119,41150228,1800119,5008878
1800392,1700453,83410081,1800392,5012670
1900046,2000105,94410639,1900046,5013780
1700094,2000039,41150228,2000039,5032196
1600329,1800104,84357639,1600329,5042463
1700114,1500426,20510342,1500426,5077013
1600257,1600263,98242958,1600257,5089025
2100248,2100080,94394146,2100080,5095683
1600450,1500094,92798146,1600450,5129085
1900105,1900385,24337055,1900105,5147575
1500310,1500006,24280048,1500006,5156729
1800425,1500382,9759481,1500382,5157396
1800207,1900319,63388575,1900319,5188819
1500449,1500662,73048877,1500662,5189427
2000048,1900402,73673141,1900402,5207308
1500423,1500419,1605247,1500423,5250489
1600127,1700055,48884355,1600127,5275463
1800021,1500423,1605247,1800021,5276243
1900306,1800098,96146351,1900306,5286402
1600613,1700256,38479101,1600613,5292238
1800003,1500845,53453606,1500845,5314755
1900289,1500669,93340099,1500669,5337001
1800093,1700530,48884355,1800093,5361995
1900395,1900346,69254490,1900346,5366788
1600604,1600605,98242958,1600604,5371381
1700453,1800104,32058656,1700453,5377786
1900319,1800207,69254490,1800207,5391847
1500426,1500213,29469615,1500213,5394007
1900319,1700215,63388575,1900319,5399660
2100212,1900041,24337055,1900041,5403891
1800348,1700538,17579854,1800348,5409885
1700486,2000195,51404974,2000195,5411826
1800112,2000271,92303021,2000271,5436372
1700353,1600604,70701621,1600604,5437488
1500379,2000066,53784671,1500379,5452793
2000336,1500271,9759481,1500271,5454924
1500423,1600451,87593816,1500423,5455219
1800062,1700538,82473321,1800062,5469269
1500410,1500426,44647410,1500426,5516769
1600421,1800102,61075387,1600421,5518824
1700153,1600502,35731376,1700153,5530050
1900408,1500435,66137940,1500435,5550049
2000022,1900406,24337055,1900406,5593220
1500692,1500315,1605247,1500315,5613440
1700114,1600249,12095412,1600249,5638368
1700076,1600613,67704249,1600613,5650883
1500423,1600428,1605247,1500423,5678626
1500160,1500410,93340099,1500160,5678660
1600087,1700256,53453606,1700256,5679126
1500545,2000146,69047473,1500545,5692666
1900104,2100082,35578273,1900104,5706296
1500383,1500215,24280048,1500215,5767845
1500426,1500408,36008564,1500426,5768594
1500094,1500329,92798146,1500094,5774423
1800080,2000210,73673141,1800080,5780063
1500379,1600125,3837516,1500379,5785059
1500239,1500268,53784671,1500268,5797213
1900408,1501184,66137940,1900408,5814197
1500391,1600504,84357639,1500391,5814851
1600417,1900150,92303021,1600417,5821772
1800096,1501195,84357639,1501195,5831221
1900407,1500382,9759481,1500382,5861126
1500720,1500662,94145454,1500720,5897965
1500426,1700114,20510342,1700114,5909939
1500426,1600134,47337021,1500426,5932045
1600495,1700144,98242958,1700144,5961377
1700459,2000020,88048778,1700459,5963073
2100203,2000344,24337055,2000344,5984693
1700254,1600087,67704249,1700254,5985261
1700390,1800019,28586144,1700390,5993899
1500586,1500404,40556595,1500586,5995838
2000192,1700530,48884355,2000192,6030967
1500381,1500408,15999797,1500381,6038442
1900378,1900308,34803546,1900378,6051631
1900382,1900404,23655601,1900382,6081847
2000084,1900319,69254490,1900319,6114434
1500142,1600450,69502754,1600450,6128659
1800018,2000271,67704249,1800018,6147038
1600026,1800017,26060937,1800017,6285665
1500142,1600486,69502754,1500142,6289020
2000099,1900238,70083850,1900238,6300818
1800073,1800072,24337055,1800072,6320912
1900244,1900196,34803546,1900244,6329611
1700529,2000343,48884355,1700529,6334925
1500426,1500408,15723691,1500408,6344355
2100183,1900021,73673141,1900021,6358310
1800392,1500449,7798184,1800392,6366858
1500381,1700114,69047473,1700114,6384379
1500379,1700114,44647410,1700114,6391424
1700024,1700297,20625435,1700024,6397292
1700131,1800351,28586144,1700131,6401543
2000078,2000021,87593816,2000021,6415908
1900376,1900238,70083850,1900376,6437481
1600268,1600094,53453606,1600268,6476116
1900321,2000346,70083850,2000346,6498242
2100234,2100269,38479101,2100234,6521340
1800015,1900091,65548502,1900091,6523301
1500268,1500950,53784671,1500268,6523638
1800093,1900365,48884355,1800093,6524906
1700153,1600502,35731376,1600502,6538056
1800371,1500419,40556595,1500419,6541905
1500112,1700144,76434048,1500112,6549527
1800073,2000198,24337055,1800073,6560531
1500423,2000020,1605247,1500423,6567134
1500419,1500423,87593816,1500423,6569636
1500612,1500640,93340099,1500640,6571829
1700353,1700256,53453606,1700256,6585985
1500003,1500693,40556595,1500693,6605733
1600605,1800003,74803357,1600605,6609192
1700153,1700071,42569356,1700071,6639091
1700141,1500720,78601896,1500720,6644104
2000273,2000004,81687208,2000273,6644555
1800227,2100222,41150228,2100222,6650522
1500978,1500112,89059425,1500112,6651229
2000210,2000254,69254490,2000210,6657465
1800104,1700542,81687208,1800104,6677494
1800232,1800350,12541500,1800232,6697768
1500239,1600214,53784671,1600214,6716586
1600604,1600248,98242958,1600604,6721137
1900001,2000080,96146351,2000080,6760405
1800031,1600226,22989802,1800031,6762484
1600251,1800232,12541500,1600251,6766006
1500635,1600268,53453606,1600268,6775131
1600226,1500217,78601896,1500217,6778318
1700023,1500950,53784671,1500950,6789705
1700536,1800241,34803546,1800241,6809884
2000241,1900042,92303021,2000241,6851856
1700071,1800015,79901281,1700071,6852088
1900102,1800056,38479101,1800056,6852371
1500426,1600249,20510342,1600249,6853169
1900153,2100219,83384433,1900153,6867776
2000021,1700024,35731376,2000021,6869333
2000037,1900153,93894916,2000037,6871814
2000101,1900364,37025873,1900364,6872189
1800093,1600428,35731376,1600428,6874115
2100223,2100092,24337055,2100223,6891407
2000066,1600125,3837516,1600125,6920534
1600409,1700256,70701621,1700256,6935668
1700483,1800092,42569356,1800092,6950111
1500435,1600249,66137940,1500435,6951542
1900233,1700230,28586144,1700230,6958905
2100198,2100187,94410639,2100187,6973642
1500163,1500955,1861573,1500955,6983308
2100223,2100092,94113634,2100223,6995995
1600297,1600083,16191362,1600297,7007490
1800244,1800415,7798184,1800244,7007886
1500426,1500410,47337021,1500426,7028650
1500612,1500239,97191435,1500612,7030814
1700486,1700297,12541500,1700297,7046718
1900408,1500310,66137940,1900408,7047198
1800392,1800364,24723992,1800392,7053603
1500949,1500950,53784671,1500949,7067807
1600613,1700076,28586144,1700076,7076049
1500587,2000066,3837516,1500587,7094862
1900379,1900259,24337055,1900259,7149497
1500426,1500612,47337021,1500426,7204237
1501195,1600145,61075387,1600145,7212134
2000004,1900311,81687208,1900311,7227322
1500239,1500216,53784671,1500239,7241063
1600329,1700110,32058656,1600329,7245499
1500845,1700230,53453606,1500845,7262925
1600088,1800093,35731376,1800093,7264872
2000078,1600514,87593816,2000078,7266907
2000254,2000084,69254490,2000084,7271423
1800113,2000170,41150228,1800113,7295361
1700479,2000079,61075387,1700479,7311624
1600075,1600385,69047473,1600075,7331824
1700453,1700167,24653464,1700167,7369882
1900042,1900145,94394146,1900042,7414259
2100078,1900321,24337055,1900321,7438174
1800093,1600502,35731376,1800093,7444384
1500682,1600267,32773529,1500682,7446063
1700110,1700256,32058656,1700256,7454477
1600087,1600604,53453606,1600604,7462535
1600457,1700256,53453606,1700256,7463808
1800392,1500449,73048877,1800392,7472473
1700530,2000046,65548502,1700530,7486412
1600125,1600468,79901281,1600125,7495612
1600504,1500539,32773529,1600504,7500134
1600125,1700155,3837516,1600125,7502016
1900102,1700167,38479101,1900102,7510477
1500382,1700114,9759481,1500382,7569255
1700110,1800003,32058656,1800003,7595474
2000080,2000347,12375490,2000080,7599149
1900104,1900042,94394146,1900104,7603881
1600118,1700227,92303021,1700227,7623941
1800226,1600056,48884355,1600056,7630175
1500692,1500423,53784671,1500692,7640393
1800349,1900259,24337055,1800349,7645138
1800154,1900364,79901281,1900364,7672569
1600248,1600247,98242958,1600248,7683076
1800015,2000094,37025873,1800015,7689347
1500346,2000046,1605247,1500346,7699285
1700044,1600377,48884355,1700044,7724468
1700260,1500391,84357639,1500391,7729585
1600531,1700512,22019079,1700512,7732397
1900197,2000224,94113634,1900197,7734356
1700076,1600263,67704249,1600263,7750700
1700114,1900408,66137940,1900408,7769492
1700453,1700215,61075387,1700453,7782444
2100258,1800133,41150228,1800133,7796695
1600329,1600267,32058656,1600329,7828015
1900041,2100223,94113634,1900041,7837251
2000259,2000004,81687208,2000004,7843652
1600450,1600268,92798146,1600450,7859452
1600267,1500391,32773529,1500391,7865421
2100074,1500410,37376827,1500410,7881163
2000004,1900311,52483288,1900311,7901318
1800312,2000238,41150228,2000238,7902268
2100104,1600064,35731376,2100104,7910717
1500692,1500950,40556595,1500950,7923477
1900233,1900102,28586144,1900233,7927705
1500213,1500381,26060937,1500213,7943696
2000107,1800019,38479101,1800019,7955786
1900309,2000004,52483288,1900309,7957265
2000099,1900041,51404974,1900041,7976278
1500422,1600226,78601896,1500422,7976658
1500693,1500419,87593816,1500419,7979497
1900104,1900145,94394146,1900145,7979716
1500102,1500692,40556595,1500102,7983285
2000037,1700181,41150228,2000037,7986171
1700023,1600434,93340099,1600434,7986627
1600083,2000152,37540814,2000152,8022423
1600264,1700117,92288378,1700117,8023598
1700376,2000156,88048778,1700376,8033372
1500449,1800392,73048877,1800392,8041287
1700321,1700510,48884355,1700510,8078210
1800306,1800412,61075387,1800412,8099729
1900145,1900104,94394146,1900145,8146262
2100088,2100203,24337055,2100088,8201294
1500379,2100075,3837516,2100075,8208957
1900309,1900311,52483288,1900311,8248741
1500213,1500408,15723691,1500213,8282712
1500423,1500419,40556595,1500423,8283830
1500950,1500587,53784671,1500950,8300665
1600177,1900409,93340099,1900409,8313041
2000094,1900364,37025873,1900364,8325202
1700256,1700116,53453606,1700116,8406649
1500693,2000020,40556595,2000020,8406935
1500383,1600297,66137940,1600297,8413642
2000192,1700155,1605247,1700155,8435904
1500272,1501184,37540814,1500272,8448896
1500007,1500379,40556595,1500007,8469059
1500545,1900408,47337021,1500545,8469300
2000192,1700487,35731376,2000192,8507609
1800154,1700114,20510342,1700114,8508999
1900309,1600329,32058656,1600329,8552451
1500423,1500693,40556595,1500423,8566864
2000344,1900041,24337055,1900041,8579473
1800392,1800244,7798184,1800392,8592453
1500271,1500382,15723691,1500382,8596147
2100096,1800003,92798146,1800003,8598310
1900368,1900040,83384433,1900368,8613441
1500645,1600604,98242958,1600604,8615616
1500435,1700114,66137940,1700114,8623724
1700453,1700380,84357639,1700453,8630803
1600504,1600433,32058656,1600504,8677060
1500336,1500382,36008564,1500382,8678090
1900289,1900409,97191435,1900409,8680152
1700395,1600251,12541500,1600251,8689721
1700253,1700353,63722814,1700253,8694290
2000244,2000084,52483288,2000084,8704303
1700353,1500635,46026656,1700353,8742028
2000211,2000204,83384433,2000211,8747757
1500336,1500006,37540814,1500006,8792527
1800415,1700331,66740516,1700331,8822578
1700175,1700061,82473321,1700175,8836404
1500410,1500612,37376827,1500612,8839696
1800364,1800392,7798184,1800392,8864141
1700185,2000157,12541500,2000157,8866056
1501188,1600115,1605247,1501188,8872420
1900328,1900060,12375490,1900060,8906696
1500158,1600226,94145454,1600226,8934568
1800093,1500326,35731376,1800093,8954676
1800232,1700376,35731376,1700376,8969440
1800366,2000118,51404974,1800366,9109217
1500146,1600177,90270649,1600177,9150188
1500381,1500410,17626627,1500381,9175539
1600280,1700144,89059425,1700144,9220372
1700024,1700487,35731376,1700024,9228001
2100215,1800403,73673141,1800403,9255619
2100238,1900233,67704249,1900233,9271153
2100182,2100215,73673141,2100215,9299361
1800415,1700227,7798184,1700227,9306894
1900364,1800241,80027610,1900364,9308415
1600268,1500080,70701621,1600268,9329404
1700116,1500080,70701621,1500080,9356879
1800056,1800348,38479101,1800348,9382014
1600115,1600621,48884355,1600621,9391134
2000101,1600615,79901281,2000101,9407002
1600621,1700134,41150228,1600621,9413505
1600087,1700353,28586144,1700353,9443035
1800365,1500612,47337021,1500612,9507816
1700380,1700226,84357639,1700226,9514062
1800226,1800093,48884355,1800226,9517068
1500381,1500401,92310822,1500381,9530116
2000101,1800015,79901281,2000101,9546926
1500391,1500142,69502754,1500142,9553610
1500335,1500299,47337021,1500335,9569804
1700227,1800392,7798184,1800392,9580750
1800403,2100182,73673141,1800403,9586385
1700453,1900311,61075387,1700453,9590669
1600531,1700512,67704249,1600531,9601180
1800104,1800247,52483288,1800247,9624935
1800306,1501195,61075387,1501195,9638087
1700071,2000101,80027610,2000101,9640371
2000195,1900274,51404974,1900274,9660741
1900145,2100280,94394146,1900145,9663392
1800062,1600087,28586144,1800062,9669671
1500376,1500640,93340099,1500376,9695094
1600094,1700144,98242958,1700144,9725644
1500379,1500216,53784671,1500379,9729324
1700076,1600604,53453606,1600604,9734754
1500375,1500693,40556595,1500375,9736470
1500004,1500102,40556595,1500102,9757530
2000007,1700116,53453606,1700116,9786309
1900385,2000215,94113634,1900385,9789725
1500655,1500693,53784671,1500693,9802071
2100182,1900021,73673141,1900021,9860383
1800415,1700254,22019079,1700254,9872957
1500410,2100075,3837516,1500410,9891231
1600083,1600507,16191362,1600507,9898151
1700221,1800244,73048877,1700221,9924355
1900405,1900020,73673141,1900405,9938825
1501188,1600115,1605247,1501188,9949026
1500094,1500142,61653237,1500142,9952457
1900041,2100210,94113634,1900041,9955422
1700010,1500408,85423143,1700010,9964153
1900126,1800226,86839569,1900126,9967522
1800037,2000203,94113634,1800037,9979982
1700260,1700146,32058656,1700260,9984920
1700487,1700376,88048778,1700487,10018147
1500271,1800042,9759481,1500271,10050055
2000032,1700177,17579854,1700177,10050589
1800306,2100256,63388575,1800306,10072436
1700010,1600174,15723691,1700010,10072631
1600257,1600531,22019079,1600531,10080107
1500310,1600064,47337021,1500310,10093092
1500410,1500160,93340099,1500160,10160396
1500142,1800003,69502754,1500142,10175321
1900145,1900104,94394146,1900145,10176098
1700530,1700510,65548502,1700530,10186147
1900145,1700385,29177332,1700385,10218831
1700027,1800091,20625435,1800091,10220179
1800422,2000086,51404974,2000086,10228142
1900145,1700385,29177332,1700385,10236229
1700141,1600279,40461362,1600279,10244370
1600125,1500379,3837516,1500379,10258516
1700538,2000032,82473321,1700538,10268331
1500533,1800116,37376827,1500533,10271795
1800364,1500158,94615162,1800364,10274993
1700131,1700253,63722814,1700253,10280723
1600531,2000033,67704249,1600531,10293629
1500158,1600531,94145454,1600531,10308569
1800116,1500383,47337021,1800116,10348747
1800364,1800392,24723992,1800392,10404358
1500101,1600267,34601640,1600267,10407920
1700297,1800208,20625435,1700297,10425544
2000078,1500730,95276352,2000078,10434212
1600083,1700114,66137940,1700114,10452060
1500468,1500163,70391417,1500468,10467453
1700529,1700321,48884355,1700321,10488097
1500612,1500383,66137940,1500612,10489924
1700353,1600605,53453606,1700353,10500265
1500408,1500381,15723691,1500408,10516828
1500310,1500299,37376827,1500299,10535086
1800415,1700254,63722814,1700254,10563669
1700114,1500382,12095412,1500382,10564027
1800243,2100254,20625435,1800243,10569040
1500379,1500383,47337021,1500383,10631623
1600514,1600115,1605247,1600514,10650353
1900033,2000108,51404974,1900033,10651245
1800019,1900145,17579854,1900145,10694525
1800041,2000028,24337055,1800041,10726293
1800415,1600531,83410081,1600531,10727726
1600385,1500435,47337021,1600385,10735987
1900402,2000254,69254490,2000254,10742228
1500408,1500426,92310822,1500408,10756147
1500381,1500401,38215718,1500401,10763927
1600385,1500545,47337021,1500545,10768686
2000086,2000316,51404974,2000086,10783938
1900263,2000185,94113634,1900263,10811121
1500950,1500419,40556595,1500950,10853574
1800131,2100242,41150228,1800131,10857905
1500426,1600249,20510342,1500426,10874490
1800055,1600450,61653237,1600450,10879043
1900347,1900328,52483288,1900328,10917771
1500426,1600249,20510342,1500426,10941726
